transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,cumulative_portfolio_value
1,2023-01-02,4747,STK002,BUY,15,2.70805020110221,7.676469010309796
2,2023-01-02,4747,STK004,BUY,68,3.7256934272366524,8.515998478030326
3,2023-01-02,227,STK006,BUY,49,3.8918202981106265,8.809123726357281
4,2023-01-02,4747,STK006,BUY,503,5.27469043591688,11.207900266168643
5,2023-01-02,3938,STK006,BUY,203,5.313205979041787,10.230395987163696
6,2023-01-02,1513,STK006,BUY,114,4.736198448394496,9.653416565147786
7,2023-01-02,4167,STK006,BUY,119,4.77912349311153,9.696338529059398
8,2023-01-02,1513,STK006,BUY,91,4.629862798578463,10.240199403304722
9,2023-01-02,4955,STK006,BUY,339,5.82600010738045,10.743175387132986
10,2023-01-02,4747,STK006,SELL,285,5.383347615732612,10.456674433549432
11,2023-01-02,4519,STK008,BUY,281,5.638354669333745,10.679200639440202
12,2023-01-02,615,STK009,BUY,248,5.5134287461649825,10.763872473970329
13,2023-01-02,4747,STK009,BUY,468,5.5902404332570725,11.728024102570512
14,2023-01-02,1157,STK010,BUY,382,5.945420608606575,10.911653298054299
15,2023-01-02,511,STK010,BUY,279,5.631211781821365,10.597451149737294
16,2023-01-02,4023,STK010,BUY,88,4.477336814478207,9.44363067049617
17,2023-01-02,1109,STK012,BUY,113,4.727387818712341,8.129522813774985
18,2023-01-02,3938,STK012,BUY,126,5.1029105702054265,10.35824809396916
19,2023-01-02,4955,STK012,BUY,249,5.683579767338681,10.892800095475987
20,2023-01-02,2988,STK012,BUY,244,5.497168225293202,8.899146722570135
21,2023-01-02,4416,STK013,BUY,85,4.442651256490317,9.50877393941194
22,2023-01-02,4946,STK013,BUY,144,4.969813299576001,10.035905200176895
23,2023-01-02,3938,STK018,BUY,80,4.915078417198038,10.594683330347607
24,2023-01-02,3394,STK018,BUY,70,4.248495242049359,8.903317805428223
25,2023-01-02,2319,STK020,BUY,33,3.4965075614664802,8.071149809085613
26,2023-01-03,653,STK006,BUY,870,6.76849321164863,11.64432076527314
27,2023-01-03,3649,STK006,BUY,207,5.332718793265369,10.208574527095951
28,2023-01-03,1816,STK006,BUY,97,4.574710978503383,9.45060845789156
29,2023-01-03,1513,STK006,SELL,28,4.352469082431556,10.052011431569664
30,2023-01-03,2650,STK006,BUY,356,5.87493073085203,10.750770912818206
31,2023-01-03,4716,STK009,BUY,83,4.418840607796598,9.658757045458108
32,2023-01-03,3792,STK012,BUY,266,5.583496308781699,8.963901325398515
33,2023-01-03,3588,STK012,BUY,113,4.727387818712341,8.107967019365839
34,2023-01-03,4955,STK013,BUY,343,5.73763624741271,11.570572859239759
35,2023-01-03,4747,STK013,BUY,73,5.460988784418869,11.801115508382912
36,2023-01-03,4747,STK013,BUY,74,5.3579532644439105,11.885111724034902
37,2023-01-03,4747,STK013,BUY,72,5.271716684750857,11.960578865788037
38,2023-01-03,4519,STK018,BUY,355,5.762051382780177,11.305065522020254
39,2023-01-03,182,STK018,BUY,511,6.236369590203704,10.891715430596816
40,2023-01-03,98,STK020,BUY,29,3.367295829986474,7.936549355663508
41,2023-01-03,4526,STK020,BUY,258,5.552959584921617,10.121897518089806
42,2023-01-04,182,STK006,BUY,370,6.0879104453762345,11.544002143780276
43,2023-01-04,4519,STK006,BUY,146,5.563255239519225,11.514201850044117
44,2023-01-04,74,STK006,BUY,466,6.144185634125646,11.029180170035717
45,2023-01-04,653,STK006,BUY,246,6.324358962381311,11.902491178249583
46,2023-01-04,1513,STK006,BUY,355,4.990432586778736,11.161635993307835
47,2023-01-04,193,STK006,BUY,409,6.013715156042802,10.898712008157625
